"Unique Key","Created Date","Complaint Type",Descriptor,"Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type",City,Latitude,Longitude,Location,count(location)
16806544,"06/06/2010 01:57:44 PM","Noise - Park","Loud Music/Party",Park/Playground,10003,"","","","",BROADWAY,"EAST   17 STREET",INTERSECTION,"NEW YORK",40.73713255577926,-73.99032932220675,"(40.73713255577926, -73.99032932220675)",111
18345726,"07/26/2010 10:37:48 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10034,"231 DYCKMAN STREET","DYCKMAN STREET",BROADWAY,"SEAMAN AVENUE","","",ADDRESS,"NEW YORK",40.865920293467006,-73.92770906652555,"(40.865920293467006, -73.92770906652555)",111
16719068,"05/24/2010 10:30:27 PM","Noise - Commercial","Loud Music/Party",Store/Commercial,11211,"110 BEDFORD AVENUE","BEDFORD AVENUE","NORTH 11 STREET","NORTH 10 STREET","","",ADDRESS,BROOKLYN,40.71996961689235,-73.95544697032754,"(40.71996961689235, -73.95544697032754)",108
25057087,"02/23/2013 10:50:06 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10033,"4165 BROADWAY",BROADWAY,"WEST 176 STREET","WEST 177 STREET","","",ADDRESS,"NEW YORK",40.84711144985249,-73.93818243577172,"(40.84711144985249, -73.93818243577172)",107
16254815,"03/19/2010 11:16:59 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11372,"87-05 NORTHERN BOULEVARD","NORTHERN BOULEVARD","87 STREET","88 STREET","","",ADDRESS,"JACKSON HEIGHTS",40.756072933002926,-73.88055478961235,"(40.756072933002926, -73.88055478961235)",106
15634343,"01/02/2010 01:39:57 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11418,"87-50 LEFFERTS BOULEVARD","LEFFERTS BOULEVARD","JAMAICA AVENUE","89 AVENUE","","",ADDRESS,"RICHMOND HILL",40.699517721245144,-73.83066377177614,"(40.699517721245144, -73.83066377177614)",105
16038113,"02/20/2010 01:25:43 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10024,"441 AMSTERDAM AVENUE","AMSTERDAM AVENUE","WEST 81 STREET","WEST 82 STREET","","",ADDRESS,"NEW YORK",40.784554397975164,-73.97728660912533,"(40.784554397975164, -73.97728660912533)",105
16309216,"03/27/2010 02:07:03 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10003,"64 EAST 1 STREET","EAST 1 STREET","2 AVENUE","1 AVENUE","","",ADDRESS,"NEW YORK",40.723581595109145,-73.98916238466072,"(40.723581595109145, -73.98916238466072)",104
15834360,"01/29/2010 08:03:33 PM","Noise - Commercial","Loud Music/Party",Store/Commercial,11211,"229 SOUTH 3 STREET","SOUTH 3 STREET","ROEBLING STREET","HAVEMEYER STREET","","",ADDRESS,BROOKLYN,40.7110255518947,-73.9584179427773,"(40.7110255518947, -73.9584179427773)",102
16091628,"02/27/2010 02:00:12 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10012,"102 MACDOUGAL STREET","MACDOUGAL STREET","BLEECKER STREET","MINETTA LANE","","",ADDRESS,"NEW YORK",40.729337855378795,-74.00103189937474,"(40.729337855378795, -74.00103189937474)",101
